epoch,Random-weights-decoder,Bert-base-encoder,Cxr-bert-base-encoder,Siglip-cxr-bert-base-encoder
1,540,460,365,447
2,222,272,253,275
3,176,216,223,254
4,129,170,178,217
5,101,125,143,164
6,87,108,132,142
7,76,89,114,119
8,66,82,102,104
9,58,76,92,107
10,56,67,84,98
11,52,65,76,79
12,44,68,76,71
13,44,65,66,75
14,42,59,67,66
15,38,61,56,68
16,38,52,55,62
17,34,51,53,58
18,34,49,50,55
19,29,50,50,54
20,30,46,46,49
21,33,49,45,48
22,29,47,46,42
23,30,48,41,43
24,31,44,42,42
25,27,44,41,42
26,29,46,38,40
27,29,42,39,36
28,27,43,37,35
29,27,41,35,38
30,30,40,36,34
31,27,41,33,32
32,28,40,35,33
33,27,40,33,34
34,27,39,32,30
35,27,41,32,30
36,26,42,31,29
37,26,43,32,29
38,26,41,29,29
39,26,40,31,28
40,27,39,29,29
41,27,39,29,29
42,27,39,30,28
43,26,40,29,27
44,27,37,28,27
45,26,39,29,28
46,26,38,28,27
47,25,37,28,27
48,26,38,28,27
49,26,38,28,28
50,26,37,28,27
